4/22/2021 3:30,1,,4/22/2021,3:30 AM
4/22/2021 6:10,1,,4/22/2021,6:10 AM
4/22/2021 6:20,1,,4/22/2021,6:20 AM
4/22/2021 6:25,1,,4/22/2021,6:25 AM
4/22/2021 6:35,1,,4/22/2021,6:35 AM
4/22/2021 6:45,2,,4/22/2021,6:45 AM
4/22/2021 7:05,2,,4/22/2021,7:05 AM
4/22/2021 7:15,1,,4/22/2021,7:15 AM
4/22/2021 7:25,2,,4/22/2021,7:25 AM
4/22/2021 7:30,1,,4/22/2021,7:30 AM
4/22/2021 7:35,2,,4/22/2021,7:35 AM
4/22/2021 7:40,1,,4/22/2021,7:40 AM
4/22/2021 7:45,2,,4/22/2021,7:45 AM
4/22/2021 7:50,4,,4/22/2021,7:50 AM
4/22/2021 7:55,3,,4/22/2021,7:55 AM
4/22/2021 8:00,5,,4/22/2021,8:00 AM
4/22/2021 8:05,8,,4/22/2021,8:05 AM
4/22/2021 8:10,8,,4/22/2021,8:10 AM
4/22/2021 8:15,12,,4/22/2021,8:15 AM
4/22/2021 8:20,9,,4/22/2021,8:20 AM
4/22/2021 8:25,16,,4/22/2021,8:25 AM
4/22/2021 8:30,15,,4/22/2021,8:30 AM
4/22/2021 8:35,16,,4/22/2021,8:35 AM
4/22/2021 8:40,36,,4/22/2021,8:40 AM
4/22/2021 8:45,16,,4/22/2021,8:45 AM
4/22/2021 8:45,16,,4/22/2021,8:45 AM
4/22/2021 8:50,43,,4/22/2021,8:50 AM
4/22/2021 8:55,28,,4/22/2021,8:55 AM
4/22/2021 9:00,15,,4/22/2021,9:00 AM
4/22/2021 9:15,9,,4/22/2021,9:15 AM
4/22/2021 9:20,14,,4/22/2021,9:20 AM
4/22/2021 9:25,15,,4/22/2021,9:25 AM
4/22/2021 9:30,20,,4/22/2021,9:30 AM
4/22/2021 9:35,14,,4/22/2021,9:35 AM
4/22/2021 9:40,26,,4/22/2021,9:40 AM
4/22/2021 9:45,27,,4/22/2021,9:45 AM
4/22/2021 9:50,38,,4/22/2021,9:50 AM
